nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000001,Fred Astaire,1899,1987,"soundtrack,actor,miscellaneous","tt0043044,tt0072308,tt0050419,tt0045537"
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack","tt0071877,tt0038355,tt0117057,tt0037382"
nm0000003,Brigitte Bardot,1934,\N,"actress,soundtrack,producer","tt0057345,tt0054452,tt0059956,tt0049189"
nm0000004,John Belushi,1949,1982,"actor,writer,soundtrack","tt0077975,tt0078723,tt0072562,tt0080455"
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0083922,tt0060827,tt0050976,tt0050986"
nm0000006,Ingrid Bergman,1915,1982,"actress,soundtrack,producer","tt0071877,tt0038109,tt0077711,tt0038787"
nm0000007,Humphrey Bogart,1899,1957,"actor,soundtrack,producer","tt0033870,tt0034583,tt0037382,tt0043265"
nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director","tt0070849,tt0068646,tt0078788,tt0047296"
nm0000009,Richard Burton,1925,1984,"actor,producer,soundtrack","tt0059749,tt0057877,tt0061184,tt0087803"
nm0000010,James Cagney,1899,1986,"actor,soundtrack,director","tt0029870,tt0031867,tt0035575,tt0055256"
nm0000011,Gary Cooper,1901,1961,"actor,soundtrack,producer","tt0035211,tt0044706,tt0034167,tt0027996"
nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0056687,tt0042192,tt0035140,tt0031210"
nm0000013,Doris Day,1922,\N,"soundtrack,actress,producer","tt0053172,tt0055100,tt0048317,tt0060463"
nm0000014,Olivia de Havilland,1916,\N,"actress,soundtrack","tt0040806,tt0031381,tt0041452,tt0029843"
nm0000015,James Dean,1931,1955,"actor,miscellaneous","tt0048028,tt0049261,tt0045458,tt0048545"
nm0000016,Georges Delerue,1925,1992,"composer,soundtrack,music_department","tt0069946,tt0096320,tt0091763,tt0079477"
nm0000017,Marlene Dietrich,1901,1992,"soundtrack,actress,music_department","tt0052311,tt0055031,tt0051201,tt0040367"
nm0000018,Kirk Douglas,1916,\N,"actor,producer,soundtrack","tt0049456,tt0052365,tt0056195,tt0054331"
nm0000019,Federico Fellini,1920,1993,"writer,director,assistant_director","tt0053779,tt0071129,tt0056801,tt0047528"
nm0000020,Henry Fonda,1905,1982,"actor,producer,soundtrack","tt0064116,tt0082846,tt0032551,tt0050083"
nm0000021,Joan Fontaine,1917,2013,"actress,soundtrack,producer","tt0034248,tt0036969,tt0039504,tt0032976"
nm0000022,Clark Gable,1901,1960,"actor,soundtrack,producer","tt0052278,tt0025316,tt0026752,tt0031381"
nm0000023,Judy Garland,1922,1969,"soundtrack,actress","tt0037059,tt0032138,tt0055031,tt0047522"
nm0000024,John Gielgud,1904,2000,"actor,writer,director","tt0045943,tt0082031,tt0076574,tt0071877"
nm0000025,Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer","tt0100802,tt0112715,tt0117731,tt0119488"
nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer","tt0036613,tt0053125,tt0048728,tt0056923"
nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer","tt0050212,tt0051739,tt0076759,tt0041546"
nm0000028,Rita Hayworth,1918,1987,"actress,soundtrack,producer","tt0040525,tt0036723,tt0038559,tt0040552"
nm0000029,Margaux Hemingway,1954,1996,"actress,miscellaneous","tt0077800,tt0102122,tt0074802,tt0110138"
nm0000030,Audrey Hepburn,1929,1993,"actress,soundtrack","tt0054698,tt0046250,tt0056923,tt0058385"
nm0000031,Katharine Hepburn,1907,2003,"actress,soundtrack,writer","tt0063227,tt0032904,tt0043265,tt0061735"
nm0000032,Charlton Heston,1923,2008,"actor,director,writer","tt0052618,tt0049833,tt0063442,tt0070723"
nm0000033,Alfred Hitchcock,1899,1980,"actor,director,producer","tt0030341,tt0054215,tt0053125,tt0052357"
nm0000034,William Holden,1918,1981,"actor,soundtrack","tt0043014,tt0065214,tt0046359,tt0074958"
nm0000035,James Horner,1953,2015,"music_department,soundtrack,composer","tt0120647,tt0499549,tt0120746,tt0120338"
nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015863,tt0015324,tt0016332,tt0017925"
nm0000037,Gene Kelly,1912,1996,"actor,soundtrack,director","tt0041716,tt0043278,tt0045152,tt0041944"
nm0000038,Grace Kelly,1929,1982,"actress,soundtrack","tt0047396,tt0046912,tt0048728,tt0046874"
nm0000039,Deborah Kerr,1921,2007,"actress,soundtrack","tt0045793,tt0049408,tt0050490,tt0039192"
nm0000040,Stanley Kubrick,1928,1999,"director,writer,producer","tt0093058,tt0066921,tt0062622,tt0072684"
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0089881,tt0051808,tt0047478,tt0080979"
nm0000042,Alan Ladd,1913,1964,"actor,producer,camera_department","tt0038369,tt0035432,tt0046303,tt0043292"
nm0000043,Veronica Lake,1922,1973,"actress,soundtrack,producer","tt0034881,tt0038369,tt0035432,tt0034240"
nm0000044,Burt Lancaster,1913,1994,"actor,producer,miscellaneous","tt0050468,tt0053793,tt0059825,tt0045793"
nm0000045,Bruce Lee,1940,1973,"actor,miscellaneous,producer","tt0070034,tt0068767,tt0068935,tt0077594"
nm0000046,Vivien Leigh,1913,1967,"actress,soundtrack,writer","tt0033238,tt0034272,tt0044081,tt0031381"
nm0000047,Sophia Loren,1934,\N,"actress,soundtrack","tt0054749,tt0060121,tt0076085,tt0058335"
nm0000048,Peter Lorre,1904,1964,"actor,soundtrack,writer","tt0036613,tt0034583,tt0033870,tt0022100"
nm0000049,Henry Mancini,1924,1994,"music_department,soundtrack,composer","tt0383216,tt0057413,tt0085101,tt0054698"
nm0000050,Groucho Marx,1890,1977,"soundtrack,actor,writer","tt0026778,tt0022158,tt0023969,tt0032536"
nm0000051,James Mason,1909,1984,"actor,producer,writer","tt0053125,tt0084855,tt0056193,tt0047522"
nm0000052,Marcello Mastroianni,1924,1996,"actor,soundtrack,producer","tt0057171,tt0056801,tt0053779,tt0055913"
nm0000053,Robert Mitchum,1917,1997,"actor,soundtrack,producer","tt0050490,tt0048424,tt0039689,tt0056197"
nm0000054,Marilyn Monroe,1926,1962,"soundtrack,actress,writer","tt0053291,tt0048605,tt0045810,tt0050861"
nm0000055,Alfred Newman,1901,1970,"music_department,composer,soundtrack","tt0029852,tt0042192,tt0056085,tt0434409"
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0054997,tt0061512,tt0257044,tt0090863"
nm0000057,David Niven,1910,1983,"actor,producer,soundtrack","tt0061452,tt0074937,tt0052182,tt0057413"
nm0000058,Maureen O'Hara,1920,2015,"actress,soundtrack","tt0045061,tt0041149,tt0039628,tt0055277"
nm0000059,Laurence Olivier,1907,1989,"actor,producer,director","tt0032976,tt0040416,tt0054331,tt0069281"
nm0000060,Gregory Peck,1916,2003,"actor,producer,soundtrack","tt0046250,tt0056592,tt0054953,tt0039416"
nm0000061,Tyrone Power,1914,1958,"actor,soundtrack,producer","tt0032762,tt0038873,tt0043959,tt0051201"
nm0000062,Elvis Presley,1935,1977,"soundtrack,actor,music_department","tt0053848,tt0056023,tt0054692,tt0056585"
nm0000063,Anthony Quinn,1915,2001,"actor,producer,soundtrack","tt0056172,tt0057831,tt0063599,tt0049456"
nm0000064,Edward G. Robinson,1893,1973,"actor,soundtrack,writer","tt0040506,tt0070723,tt0021079,tt0036775"
nm0000065,Nino Rota,1911,1979,"composer,soundtrack,music_department","tt0071562,tt0056801,tt0063518,tt0068646"
nm0000066,Jane Russell,1921,2011,"actress,soundtrack,producer","tt0043643,tt0044863,tt0045810,tt0045177"
nm0000067,MiklÃ³s RÃ³zsa,1907,1995,"music_department,composer,soundtrack","tt0052618,tt0054847,tt0038109,tt0036775"
nm0000068,Randolph Scott,1898,1987,"actor,producer,soundtrack","tt0026942,tt0051047,tt0049743,tt0029284"
nm0000069,Frank Sinatra,1915,1998,"soundtrack,actor,producer","tt0045793,tt0052218,tt0056218,tt0050815"
nm0000070,Max Steiner,1888,1971,"music_department,composer,soundtrack","tt0036613,tt0034583,tt0040897,tt0031381"
nm0000071,James Stewart,1908,1997,"actor,soundtrack,director","tt0032904,tt0052357,tt0052561,tt0031679"
nm0000072,Elizabeth Taylor,1932,2011,"actress,soundtrack,producer","tt0061184,tt0061407,tt0053318,tt0051459"
nm0000073,Shirley Temple,1928,2014,"actress,soundtrack,writer","tt0027421,tt0040369,tt0031580,tt0028315"
nm0000074,Gene Tierney,1920,1991,"actress,soundtrack","tt0039420,tt0038492,tt0037865,tt0037008"
nm0000075,Spencer Tracy,1900,1967,"actor,soundtrack","tt0057193,tt0053946,tt0055031,tt0061735"
nm0000076,FranÃ§ois Truffaut,1932,1984,"writer,director,producer","tt0053198,tt0075860,tt0070460,tt0055032"
nm0000077,Franz Waxman,1906,1967,"music_department,composer,soundtrack","tt0043014,tt0043924,tt0034248,tt0032976"
nm0000078,John Wayne,1907,1979,"actor,producer,soundtrack","tt0053580,tt0057298,tt0056217,tt0065126"
nm0000079,Raquel Welch,1940,\N,"actress,soundtrack,producer","tt0068675,tt0072281,tt0060397,tt0070291"
nm0000080,Orson Welles,1915,1985,"actor,writer,director","tt0033467,tt0059012,tt0057427,tt0052311"
nm0000081,Natalie Wood,1938,1981,"actress,soundtrack,music_department","tt0048545,tt0055471,tt0055614,tt0057263"
nm0000082,Victor Young,1900,1956,"music_department,soundtrack,composer","tt0048960,tt0045061,tt3315342,tt0119094"
nm0000083,Alan Miller,\N,\N,"editor,writer,director","tt0424773,tt1617108,tt0969216,tt5969604"
nm0000084,Li Gong,1965,\N,actress,"tt0101640,tt0397535,tt0430357,tt0473444"
nm0000085,Henner Hofmann,\N,\N,"cinematographer,producer,camera_department","tt0113482,tt0097523,tt1825758,tt0097738"
nm0000086,Louis de FunÃ¨s,1914,1983,"actor,writer,soundtrack","tt0079200,tt0069747,tt0083109,tt0074103"
nm0000087,Elena Koreneva,1953,\N,"actress,casting_director","tt0123138,tt0122969,tt0080912,tt5847740"
nm0000088,Aleksey Korenev,1927,1995,"director,writer,assistant_director","tt0191104,tt0100069,tt0068304,tt0049397"
nm0000089,Richard Paul,1940,1998,actor,"tt0086765,tt0117318,tt0088529,tt0075489"
nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0765443,tt0963178,tt0117631,tt0139809"
nm0000091,GÃ©rard PirÃ¨s,1942,\N,"director,writer,actor","tt0421974,tt0064297,tt0152930,tt0282552"
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0095159,tt0085959,tt0071853,tt0063929"
nm0000093,Brad Pitt,1963,\N,"actor,producer,soundtrack","tt0356910,tt1210166,tt0421715,tt0114746"
nm0000094,J. Reifel,\N,\N,writer,"tt0117915,tt0118631,tt0116030,tt0118886"
nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0097123,tt0116242,tt0079522,tt0075686"
nm0000096,Gillian Anderson,1968,\N,"actress,producer,soundtrack","tt2294189,tt0442632,tt0106179,tt0455590"
nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0426592,tt0306047,tt0115624,tt0267913"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt1038919,tt1723121,tt0108778,tt3442006"
nm0000099,Patricia Arquette,1968,\N,"actress,director,soundtrack","tt1065073,tt0108399,tt0145531,tt0412175"
nm0000100,Rowan Atkinson,1955,\N,"actor,writer,producer","tt0110357,tt0274166,tt0118689,tt0109831"
