tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0057413	movie	The Pink Panther	The Pink Panther	0	1963	\N	115	"Comedy,Crime,Romance"
tt0085101	tvMiniSeries	The Thorn Birds	The Thorn Birds	0	1983	1983	460	Drama
tt0054698	movie	Breakfast at Tiffany's	Breakfast at Tiffany's	0	1961	\N	115	"Comedy,Drama,Romance"
tt0383216	movie	The Pink Panther	The Pink Panther	0	2006	\N	93	"Adventure,Comedy,Crime"
tt0022158	movie	Monkey Business	Monkey Business	0	1931	\N	77	"Comedy,Musical"
tt0023969	movie	Duck Soup	Duck Soup	0	1933	\N	68	"Comedy,Musical,War"
tt0032536	movie	Go West	Go West	0	1940	\N	80	"Comedy,Musical,Western"
tt0026778	movie	A Night at the Opera	A Night at the Opera	0	1935	\N	96	"Comedy,Music,Musical"
tt0084855	movie	The Verdict	The Verdict	0	1982	\N	129	Drama
tt0056193	movie	Lolita	Lolita	0	1962	\N	153	"Crime,Drama,Romance"
tt0055913	movie	Divorce Italian Style	Divorzio all'italiana	0	1961	\N	105	"Comedy,Drama,Romance"
tt0057171	movie	"Yesterday, Today and Tomorrow"	Ieri oggi domani	0	1963	\N	118	"Comedy,Romance"
tt0048424	movie	The Night of the Hunter	The Night of the Hunter	0	1955	\N	92	"Crime,Drama,Film-Noir"
tt0039689	movie	Out of the Past	Out of the Past	0	1947	\N	97	"Crime,Drama,Film-Noir"
tt0056197	movie	The Longest Day	The Longest Day	0	1962	\N	178	"Action,Drama,History"
tt0048605	movie	The Seven Year Itch	The Seven Year Itch	0	1955	\N	105	"Comedy,Romance"
tt0045810	movie	Gentlemen Prefer Blondes	Gentlemen Prefer Blondes	0	1953	\N	91	"Comedy,Musical,Romance"
tt0050861	movie	The Prince and the Showgirl	The Prince and the Showgirl	0	1957	\N	115	"Comedy,Romance"
tt0053291	movie	Some Like It Hot	Some Like It Hot	0	1959	\N	121	"Comedy,Romance"
tt0056085	movie	How the West Was Won	How the West Was Won	0	1962	\N	164	Western
tt0434409	movie	V for Vendetta	V for Vendetta	0	2005	\N	132	"Action,Drama,Sci-Fi"
tt0029852	movie	Alexander's Ragtime Band	Alexander's Ragtime Band	0	1938	\N	106	"Drama,Musical,Romance"
tt0061512	movie	Cool Hand Luke	Cool Hand Luke	0	1967	\N	126	"Crime,Drama"
tt0257044	movie	Road to Perdition	Road to Perdition	0	2002	\N	117	"Crime,Drama,Thriller"
tt0090863	movie	The Color of Money	The Color of Money	0	1986	\N	119	"Drama,Sport"
tt0054997	movie	The Hustler	The Hustler	0	1961	\N	134	"Drama,Sport"
tt0074937	movie	Murder by Death	Murder by Death	0	1976	\N	94	"Comedy,Crime,Mystery"
tt0052182	movie	Separate Tables	Separate Tables	0	1958	\N	100	"Drama,Romance"
tt0061452	movie	Casino Royale	Casino Royale	0	1967	\N	131	Comedy
tt0039628	movie	Miracle on 34th Street	Miracle on 34th Street	0	1947	\N	96	"Comedy,Drama,Family"
tt0055277	movie	The Parent Trap	The Parent Trap	0	1961	\N	129	"Comedy,Family,Romance"
tt0041149	movie	Bagdad	Bagdad	0	1949	\N	82	"Action,Adventure,Fantasy"
tt0040416	movie	Hamlet	Hamlet	0	1948	\N	154	Drama
tt0069281	movie	Sleuth	Sleuth	0	1972	\N	138	"Mystery,Thriller"
tt0056592	movie	To Kill a Mockingbird	To Kill a Mockingbird	0	1962	\N	129	"Crime,Drama"
tt0054953	movie	The Guns of Navarone	The Guns of Navarone	0	1961	\N	158	"Action,Adventure,Drama"
tt0039416	movie	Gentleman's Agreement	Gentleman's Agreement	0	1947	\N	118	"Drama,Romance"
tt0038873	movie	The Razor's Edge	The Razor's Edge	0	1946	\N	145	"Drama,Romance"
tt0043959	movie	Rawhide	Rawhide	0	1951	\N	89	"Drama,Romance,Western"
tt0032762	movie	The Mark of Zorro	The Mark of Zorro	0	1940	\N	94	"Action,Adventure,Romance"
tt0056023	movie	Girls! Girls! Girls!	Girls! Girls! Girls!	0	1962	\N	106	"Comedy,Musical"
tt0054692	movie	Blue Hawaii	Blue Hawaii	0	1961	\N	102	"Comedy,Musical"
tt0056585	movie	Tickle Me	Tickle Me	0	1965	\N	90	"Comedy,Musical,Romance"
tt0053848	movie	G.I. Blues	G.I. Blues	0	1960	\N	104	"Comedy,Musical"
tt0057831	movie	Zorba the Greek	Alexis Zorbas	0	1964	\N	142	"Comedy,Drama"
tt0063599	movie	The Shoes of the Fisherman	The Shoes of the Fisherman	0	1968	\N	162	Drama
tt0056172	movie	Lawrence of Arabia	Lawrence of Arabia	0	1962	\N	216	"Adventure,Biography,Drama"
tt0021079	movie	Little Caesar	Little Caesar	0	1931	\N	79	"Action,Crime,Drama"
tt0036775	movie	Double Indemnity	Double Indemnity	0	1944	\N	107	"Crime,Drama,Film-Noir"
tt0040506	movie	Key Largo	Key Largo	0	1948	\N	100	"Action,Crime,Drama"
tt0063518	movie	Romeo and Juliet	Romeo and Juliet	0	1968	\N	138	"Drama,Romance"
tt0071562	movie	The Godfather: Part II	The Godfather: Part II	0	1974	\N	202	"Crime,Drama"
tt0044863	movie	Macao	Macao	0	1952	\N	81	"Adventure,Crime,Drama"
tt0045177	movie	Son of Paleface	Son of Paleface	0	1952	\N	95	"Comedy,Romance,Western"
tt0043643	movie	His Kind of Woman	His Kind of Woman	0	1951	\N	120	"Action,Crime,Film-Noir"
tt0054847	movie	El Cid	El Cid	0	1961	\N	182	"Adventure,Biography,Drama"
tt0051047	movie	The Tall T	The Tall T	0	1957	\N	78	"Romance,Thriller,Western"
tt0049743	movie	7 Men from Now	7 Men from Now	0	1956	\N	78	"Action,Western"
tt0029284	movie	My Favorite Wife	My Favorite Wife	0	1940	\N	88	"Comedy,Romance"
tt0026942	movie	Roberta	Roberta	0	1935	\N	106	"Comedy,Musical,Romance"
tt0052218	movie	Some Came Running	Some Came Running	0	1958	\N	137	"Drama,Romance"
tt0056218	movie	The Manchurian Candidate	The Manchurian Candidate	0	1962	\N	126	"Drama,Thriller"
tt0050815	movie	Pal Joey	Pal Joey	0	1957	\N	111	"Drama,Musical,Romance"
tt0040897	movie	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre	0	1948	\N	126	"Adventure,Drama,Western"
tt0052561	movie	Anatomy of a Murder	Anatomy of a Murder	0	1959	\N	160	"Crime,Drama,Mystery"
tt0031679	movie	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington	0	1939	\N	129	"Comedy,Drama"
tt0061407	movie	The Taming of the Shrew	The Taming of the Shrew	0	1967	\N	122	"Comedy,Drama,Romance"
tt0053318	movie	"Suddenly, Last Summer"	"Suddenly, Last Summer"	0	1959	\N	114	"Drama,Mystery,Thriller"
tt0051459	movie	Cat on a Hot Tin Roof	Cat on a Hot Tin Roof	0	1958	\N	108	Drama
tt0040369	movie	Fort Apache	Fort Apache	0	1948	\N	128	"Action,Adventure,Western"
tt0031580	movie	The Little Princess	The Little Princess	0	1939	\N	93	"Comedy,Drama,Family"
tt0028315	movie	Stowaway	Stowaway	0	1936	\N	87	"Adventure,Family,Musical"
tt0027421	movie	Captain January	Captain January	0	1936	\N	77	"Comedy,Family,Musical"
tt0037865	movie	Leave Her to Heaven	Leave Her to Heaven	0	1945	\N	110	"Drama,Film-Noir,Romance"
tt0037008	movie	Laura	Laura	0	1944	\N	88	"Drama,Film-Noir,Mystery"
tt0038492	movie	Dragonwyck	Dragonwyck	0	1946	\N	103	"Drama,Mystery,Romance"
tt0053946	movie	Inherit the Wind	Inherit the Wind	0	1960	\N	128	"Biography,Drama,History"
tt0075860	movie	Close Encounters of the Third Kind	Close Encounters of the Third Kind	0	1977	\N	138	"Drama,Sci-Fi"
tt0070460	movie	Day for Night	La nuit américaine	0	1973	\N	115	"Comedy,Drama,Romance"
tt0055032	movie	Jules and Jim	Jules et Jim	0	1962	\N	105	"Drama,Romance"
tt0053198	movie	The 400 Blows	Les quatre cents coups	0	1959	\N	99	"Crime,Drama"
tt0043924	movie	A Place in the Sun	A Place in the Sun	0	1951	\N	122	"Drama,Romance"
tt0043014	movie	Sunset Boulevard	Sunset Blvd.	0	1950	\N	110	"Drama,Film-Noir"
tt0057298	movie	McLintock!	McLintock!	0	1963	\N	127	"Comedy,Romance,Western"
tt0056217	movie	The Man Who Shot Liberty Valance	The Man Who Shot Liberty Valance	0	1962	\N	123	"Drama,Western"
tt0065126	movie	True Grit	True Grit	0	1969	\N	128	"Adventure,Drama,Western"
tt0053580	movie	The Alamo	The Alamo	0	1960	\N	162	"Adventure,Drama,History"
tt0072281	movie	The Three Musketeers	The Three Musketeers	0	1973	\N	106	"Action,Adventure"
tt0060397	movie	Fantastic Voyage	Fantastic Voyage	0	1966	\N	100	"Adventure,Family,Sci-Fi"
tt0070291	movie	The Last of Sheila	The Last of Sheila	0	1973	\N	120	"Crime,Drama,Mystery"
tt0068675	movie	Hannie Caulder	Hannie Caulder	0	1971	\N	85	"Crime,Drama,Western"
tt0059012	movie	Chimes at Midnight	Campanadas a medianoche	0	1965	\N	113	"Comedy,Drama,History"
tt0057427	movie	The Trial	Le procès	0	1962	\N	119	"Drama,Mystery,Thriller"
tt0033467	movie	Citizen Kane	Citizen Kane	0	1941	\N	119	"Drama,Mystery"
tt0055471	movie	Splendor in the Grass	Splendor in the Grass	0	1961	\N	124	"Drama,Romance"
tt0055614	movie	West Side Story	West Side Story	0	1961	\N	153	"Crime,Drama,Musical"
tt0057263	movie	Love with the Proper Stranger	Love with the Proper Stranger	0	1963	\N	102	"Comedy,Drama,Romance"
tt0045061	movie	The Quiet Man	The Quiet Man	0	1952	\N	129	"Comedy,Drama,Romance"
tt0045061	movie	The Quiet Man	The Quiet Man	0	1952	\N	129	"Comedy,Drama,Romance"
tt0119094	movie	Face/Off	Face/Off	0	1997	\N	138	"Action,Crime,Sci-Fi"
tt0048960	movie	Around the World in 80 Days	Around the World in 80 Days	0	1956	\N	175	"Adventure,Comedy,Family"
tt0048960	movie	Around the World in 80 Days	Around the World in 80 Days	0	1956	\N	175	"Adventure,Comedy,Family"
tt0969216	movie	African Bambi	African Bambi	0	2007	\N	77	"Documentary,Family"
tt0969216	movie	African Bambi	African Bambi	0	2007	\N	77	"Documentary,Family"
tt0424773	movie	Addo: The King of the Beasts	"Addo, koning der dieren"	0	2002	\N	77	Documentary
tt0473444	movie	Curse of the Golden Flower	Man cheng jin dai huang jin jia	0	2006	\N	111	"Action,Drama,Romance"
tt0430357	movie	Miami Vice	Miami Vice	0	2006	\N	134	"Action,Crime,Thriller"
tt0097523	movie	"Honey, I Shrunk the Kids"	"Honey, I Shrunk the Kids"	0	1989	\N	93	"Adventure,Comedy,Family"
tt0097523	movie	"Honey, I Shrunk the Kids"	"Honey, I Shrunk the Kids"	0	1989	\N	93	"Adventure,Comedy,Family"
tt0097738	movie	The Legend of the Mask	La leyenda de una máscara	0	1991	\N	95	"Action,Crime,Drama"
tt0113482	movie	Jonah and the Pink Whale	Jonás y la ballena rosada	0	1995	\N	92	Drama
tt0069747	movie	The Mad Adventures of 'Rabbi' Jacob	Les aventures de Rabbi Jacob	0	1973	\N	100	"Adventure,Comedy,Crime"
tt0083109	movie	The Cabbage Soup	La soupe aux choux	0	1981	\N	98	"Comedy,Sci-Fi"
tt0074103	movie	The Wing or The Thigh?	L'aile ou la cuisse	0	1976	\N	104	"Comedy,Family"
tt0079200	movie	The Troops & Aliens	Le gendarme et les extra-terrestres	0	1979	\N	96	"Comedy,Crime,Sci-Fi"
tt0080912	movie	Idealnyy muzh	Idealnyy muzh	0	1981	\N	93	Comedy
tt0080912	movie	Idealnyy muzh	Idealnyy muzh	0	1981	\N	93	Comedy
tt0122969	movie	Asya	Asya	0	1978	\N	98	Drama
tt0100069	movie	Lovushka dlya odinokogo muzhchiny	Lovushka dlya odinokogo muzhchiny	0	1990	\N	92	"Comedy,Crime"
tt0068304	tvMiniSeries	The Long Recess	Bolshaya peremena	0	1972	1972	268	"Comedy,Romance"
tt0049397	movie	Carnival in Moscow	Karnavalnaya noch	0	1956	\N	78	"Comedy,Musical,Romance"
tt0191104	movie	Dura	Dura	0	1990	\N	\N	"Comedy,Drama"
tt0075489	tvSeries	Carter Country	Carter Country	0	1977	1979	30	Comedy
tt0088529	tvSeries	Hail to the Chief	Hail to the Chief	0	1985	\N	30	Comedy
tt0963178	movie	The International	The International	0	2009	\N	118	"Action,Crime,Drama"
tt0117631	movie	Shine	Shine	0	1996	\N	105	"Biography,Drama,Music"
tt0139809	movie	The Thirteenth Floor	The Thirteenth Floor	0	1999	\N	100	"Mystery,Sci-Fi,Thriller"
tt0765443	movie	Eastern Promises	Eastern Promises	0	2007	\N	100	"Crime,Drama,Mystery"
tt0064297	movie	Erotissimo	Erotissimo	0	1969	\N	100	Comedy
tt0152930	movie	Taxi	Taxi	0	1998	\N	86	"Action,Comedy,Crime"
tt0282552	movie	Riders	Riders	0	2002	\N	83	"Action,Crime,Thriller"
tt0421974	movie	Sky Fighters	Les chevaliers du ciel	0	2005	\N	102	"Action,Adventure"
tt0085959	movie	The Meaning of Life	The Meaning of Life	0	1983	\N	107	"Comedy,Musical"
tt0071853	movie	Monty Python and the Holy Grail	Monty Python and the Holy Grail	0	1975	\N	91	"Adventure,Comedy,Fantasy"
tt0063929	tvSeries	Monty Python's Flying Circus	Monty Python's Flying Circus	0	1969	1974	30	Comedy
tt0095159	movie	A Fish Called Wanda	A Fish Called Wanda	0	1988	\N	108	"Comedy,Crime"
tt0095159	movie	A Fish Called Wanda	A Fish Called Wanda	0	1988	\N	108	"Comedy,Crime"
tt0421715	movie	The Curious Case of Benjamin Button	The Curious Case of Benjamin Button	0	2008	\N	166	"Drama,Fantasy,Romance"
tt0114746	movie	Twelve Monkeys	Twelve Monkeys	0	1995	\N	129	"Mystery,Sci-Fi,Thriller"
tt0356910	movie	Mr. & Mrs. Smith	Mr. & Mrs. Smith	0	2005	\N	120	"Action,Comedy,Crime"
tt0118886	movie	Convict 762	Convict 762	0	1997	\N	97	"Action,Sci-Fi,Thriller"
tt0116030	movie	Dark Planet	Dark Planet	0	1997	\N	99	Sci-Fi
tt0116242	movie	Everyone Says I Love You	Everyone Says I Love You	0	1996	\N	101	"Comedy,Musical,Romance"
tt0079522	movie	Manhattan	Manhattan	0	1979	\N	96	"Comedy,Drama,Romance"
tt0075686	movie	Annie Hall	Annie Hall	0	1977	\N	93	"Comedy,Romance"
tt0097123	movie	Crimes and Misdemeanors	Crimes and Misdemeanors	0	1989	\N	104	"Comedy,Drama"
tt0442632	tvMiniSeries	Bleak House	Bleak House	0	2005	2005	510	Drama
tt0106179	tvSeries	The X-Files	The X Files	0	1993	\N	45	"Drama,Mystery,Sci-Fi"
tt0455590	movie	The Last King of Scotland	The Last King of Scotland	0	2006	\N	123	"Biography,Drama,History"
tt0455590	movie	The Last King of Scotland	The Last King of Scotland	0	2006	\N	123	"Biography,Drama,History"
tt0306047	movie	Scary Movie 3	Scary Movie 3	0	2003	\N	84	Comedy
tt0115624	movie	Barb Wire	Barb Wire	0	1996	\N	98	"Action,Sci-Fi"
tt0267913	movie	Scooby-Doo	Scooby-Doo	0	2002	\N	86	"Adventure,Comedy,Family"
tt0426592	movie	Superhero Movie	Superhero Movie	0	2008	\N	75	"Action,Comedy"
tt0426592	movie	Superhero Movie	Superhero Movie	0	2008	\N	75	"Action,Comedy"
tt0108778	tvSeries	Friends	Friends	0	1994	2004	22	"Comedy,Romance"
tt0108778	tvSeries	Friends	Friends	0	1994	2004	22	"Comedy,Romance"
tt0108778	tvSeries	Friends	Friends	0	1994	2004	22	"Comedy,Romance"
tt0108399	movie	True Romance	True Romance	0	1993	\N	119	"Crime,Drama,Romance"
tt0145531	movie	Stigmata	Stigmata	0	1999	\N	103	Horror
tt0412175	tvSeries	Medium	Medium	0	2005	2011	60	"Crime,Drama,Fantasy"
tt0412175	tvSeries	Medium	Medium	0	2005	2011	60	"Crime,Drama,Fantasy"
tt0274166	movie	Johnny English	Johnny English	0	2003	\N	88	"Action,Adventure,Comedy"
tt0118689	movie	Bean	Bean	0	1997	\N	89	"Adventure,Comedy,Family"
tt0109831	movie	Four Weddings and a Funeral	Four Weddings and a Funeral	0	1994	\N	117	"Comedy,Drama,Romance"
tt0110357	movie	The Lion King	The Lion King	0	1994	\N	88	"Adventure,Animation,Drama"
